food_item,calories_(kcal),protein_(g),carbohydrates_(g),fat_(g)
Popcorn,196,44.6,85.8,26.8
Paneer,363,25.2,94.1,47.7
Nuts,349,3.9,97.6,2.4
Coffee,420,23.7,20.2,19.6
Spinach,233,10.7,32.6,38.9
Milk,212,17.9,73.3,12.4
Orange,507,6.8,40.8,27.3
Pork Chop,579,27.7,33.3,42.6
Bread,218,3.2,75.3,40.7
Strawberry,455,36.6,98.6,14.9
Cookies,223,40.6,13.1,15.0
Rice,547,31.2,26.0,41.3
Popcorn,389,22.8,77.0,2.4
Chips,240,26.3,48.2,21.8
Orange Juice,535,23.4,7.7,23.2
Orange Juice,449,32.0,14.8,8.2
Oats,558,3.1,32.3,2.7
Yogurt,120,17.1,90.9,25.3
Spinach,59,45.7,21.9,19.9
Oats,571,20.3,83.7,10.0
Oats,483,22.2,99.3,3.9
Cookies,231,21.7,16.1,30.2
Popcorn,53,18.9,20.3,42.0
Cheese,400,34.1,38.9,11.7
Rice,181,42.4,25.5,17.8
Apple,93,23.5,65.2,34.3
Cookies,475,48.9,64.9,32.9
Grapes,362,46.7,19.3,40.1
Cheese,75,37.5,44.7,10.2
Milkshake,421,43.2,6.0,26.1
Orange Juice,457,49.5,68.9,34.0
Cheese,367,9.1,29.8,43.2
Eggs,232,45.3,77.5,48.9
Chips,71,31.5,35.5,34.7
Eggs,264,1.6,64.4,28.6
Grapes,499,32.3,39.5,44.1
Chicken Breast,395,23.4,60.7,34.2
Orange Juice,339,17.8,72.0,24.7
Cheese,218,33.5,6.6,14.1
Tomato,175,5.2,84.0,37.0
Nuts,241,18.7,67.7,11.8
Rice,554,9.4,65.4,27.7
Broccoli,158,19.4,62.3,12.7
Orange,146,30.3,95.4,38.8
Water,465,21.7,29.8,18.5
Water,421,6.7,95.5,40.6
Eggs,540,30.1,99.0,38.9
Beef Steak,113,2.3,39.7,48.3
Orange Juice,238,17.8,10.4,5.1
Orange,497,10.7,61.4,18.5
Banana,168,33.3,66.1,34.1
Eggs,250,19.8,45.0,31.9
Grapes,446,22.4,54.7,48.3
Pasta,255,15.8,81.0,28.8
Grapes,227,36.0,24.1,34.9
Cheese,103,9.9,74.4,44.4
Cheese,279,3.2,7.6,25.5
Paneer,109,49.5,72.5,36.9
Grapes,515,3.5,92.3,19.1
Pork Chop,80,19.5,78.7,49.3
Orange Juice,180,34.9,85.8,16.8
Tomato,546,46.2,84.9,15.5
Chocolate,321,18.9,27.8,20.8
Carrot,174,29.7,95.0,14.7
Broccoli,226,34.0,53.3,47.2
Tomato,491,40.1,98.6,10.1
Eggs,597,36.0,86.6,40.2
Strawberry,434,37.6,91.3,38.3
Pork Chop,548,20.6,97.1,7.7
Nuts,113,39.1,22.4,6.3
Popcorn,530,43.8,89.8,45.7
Pork Chop,425,48.1,18.5,4.0
Orange,253,7.1,17.7,9.8
Broccoli,349,5.7,65.1,31.0
Bread,389,2.7,30.8,19.3
Nuts,543,19.0,99.0,42.6
Apple,380,28.7,5.7,28.9
Cheese,510,3.5,31.3,45.5
Green Tea,252,16.2,98.5,4.6
Spinach,328,19.0,77.2,13.6
Spinach,63,37.8,97.7,32.9
Pork Chop,78,19.2,77.6,37.2
Bread,375,34.3,88.9,26.4
Chips,378,31.5,73.7,26.5
Orange Juice,335,9.4,9.9,6.2
Coffee,274,36.7,70.8,37.0
Coffee,149,7.3,48.1,7.0
Pork Chop,333,32.3,70.8,15.7
Apple,484,19.6,58.2,32.5
Broccoli,165,50.0,60.4,35.5
Carrot,404,23.8,7.9,15.0
Coffee,387,10.7,93.8,42.1
Orange Juice,238,46.5,62.1,11.4
Eggs,215,3.0,29.8,5.7
Beef Steak,276,6.2,41.4,23.5
Coffee,373,1.5,49.1,28.9
Eggs,409,15.2,15.6,17.0
Orange,502,36.8,76.5,39.1
Cheese,368,31.8,94.5,31.2
Nuts,366,43.0,93.0,32.4
Carrot,222,9.9,54.0,28.7
Pork Chop,348,16.8,21.2,29.5
Coffee,549,11.9,82.9,38.5
Paneer,572,28.6,79.9,24.0
Pork Chop,158,18.4,48.1,46.8
Pasta,164,16.5,40.0,19.0
Chips,331,5.6,92.4,17.1
Nuts,564,10.1,92.5,11.9
Chips,303,10.8,73.3,4.4
Chicken Breast,287,27.4,11.0,2.9
Popcorn,201,14.7,87.2,12.3
Tomato,571,44.1,49.3,24.4
Strawberry,259,18.2,53.6,21.1
Bread,285,10.2,7.0,43.9
Orange,361,27.7,19.5,12.8
Water,242,22.3,99.6,41.7
Broccoli,469,33.4,26.9,35.4
Green Tea,437,30.2,13.3,11.4
Quinoa,108,43.1,11.7,4.2
Pork Chop,71,5.8,11.7,13.8
Banana,519,35.3,21.5,9.0
Green Tea,106,48.0,8.2,2.6
Beef Steak,391,39.5,6.8,30.9
Strawberry,433,26.5,95.7,45.3
Pork Chop,561,12.9,75.7,40.7
Grapes,302,23.2,12.0,48.7
Bread,373,41.8,21.2,48.7
Nuts,446,9.7,55.1,17.7
Water,426,8.6,7.4,48.6
Water,95,24.2,26.4,20.9
Strawberry,188,23.8,24.6,19.5
Orange,129,15.2,85.3,10.7
Spinach,419,7.4,17.5,41.7
Milkshake,311,32.6,69.3,4.0
Chicken Breast,189,29.2,63.4,22.9
Orange,308,21.7,43.9,19.2
Pasta,84,10.2,71.9,5.1
Grapes,551,10.2,49.8,2.1
Milkshake,134,24.6,77.9,47.0
Salmon,133,37.3,8.7,17.9
Bread,386,45.0,16.9,9.8
Beef Steak,196,45.4,84.3,42.1
Quinoa,445,37.8,9.5,22.6
Cheese,450,3.4,49.6,20.8
Cookies,59,23.9,48.3,22.3
Oats,371,35.5,43.2,33.6
Carrot,569,6.3,98.0,5.8
Salmon,420,2.2,41.1,29.3
Tomato,150,48.8,95.4,16.3
Quinoa,506,24.4,73.2,8.4
Chocolate,197,19.4,22.3,22.6
Grapes,71,28.3,23.9,46.6
Rice,371,48.6,13.8,41.9
Coffee,389,40.5,86.0,46.3
Pork Chop,250,13.1,44.6,20.1
Water,307,43.4,26.0,47.6
Paneer,495,16.3,64.3,10.1
Spinach,133,20.1,94.2,22.0
Pork Chop,50,28.9,96.8,7.6
Cookies,456,26.1,64.0,14.9
Green Tea,373,17.2,54.9,28.8
Rice,95,19.6,30.2,35.1
Oats,115,25.8,33.5,42.7
Apple,528,6.6,69.9,43.8
Apple,226,17.0,90.0,14.3
Chocolate,68,47.4,48.5,32.1
Carrot,270,10.8,9.0,27.6
Coffee,311,12.6,93.2,17.2
Chocolate,439,46.9,34.8,23.1
Milkshake,532,43.0,98.4,45.4
Bread,446,47.3,31.2,49.6
Green Tea,330,5.6,78.9,32.5
Butter,500,25.4,97.5,16.5
Cheese,78,41.2,78.3,8.1
Orange Juice,276,12.8,91.6,17.3
Green Tea,514,10.4,33.5,37.2
Chocolate,352,40.3,57.1,8.0
Quinoa,528,29.6,13.5,29.8
Orange Juice,423,3.4,50.1,46.1
Broccoli,221,20.7,92.6,47.2
Water,146,31.3,23.2,26.1
Carrot,64,11.6,92.1,47.8
Pasta,476,29.6,57.5,24.1
Broccoli,297,45.9,40.5,35.1
Pasta,445,12.9,21.7,29.2
Milk,425,42.7,73.2,1.3
Cheese,488,1.2,77.8,31.7
Carrot,359,31.9,69.6,27.3
Chocolate,497,12.4,40.1,24.6
Chips,423,13.8,18.8,48.1
Nuts,343,23.8,79.3,35.9
Cookies,245,7.4,29.2,43.8
Green Tea,568,25.0,43.4,29.0
Orange Juice,534,5.9,68.0,26.0
Tomato,328,23.1,41.7,47.2
Bread,594,22.2,49.5,39.2
Quinoa,148,36.8,20.5,47.0
Water,438,9.1,31.2,6.4
Orange,575,12.4,53.0,21.4
Coffee,323,7.2,26.4,25.3
Cookies,148,1.9,60.6,40.8
Tomato,416,31.8,70.4,2.9
Apple,363,21.1,86.1,31.5
Carrot,246,36.7,18.4,7.0
Apple,200,28.9,82.8,49.6
Cookies,407,47.0,14.7,11.9
Orange,420,6.8,89.0,1.6
Chips,421,20.8,41.0,37.6
Coffee,321,40.8,52.2,15.2
Chicken Breast,529,13.7,95.3,5.1
Cookies,127,44.1,47.5,21.4
Pasta,255,37.0,62.8,11.9
Tomato,70,48.9,30.4,4.2
Chicken Breast,589,1.0,86.3,28.1
Green Tea,287,4.2,82.1,16.5
Green Tea,91,45.3,5.7,30.0
Eggs,258,18.1,25.5,26.3
Quinoa,286,28.2,12.0,23.8
Cheese,318,35.6,50.6,15.8
Green Tea,588,31.4,49.2,34.1
Carrot,185,36.0,99.9,12.6
Cheese,455,4.9,7.3,34.7
Orange,96,12.9,38.9,21.4
Beef Steak,178,21.0,74.7,14.5
Coffee,248,10.9,68.7,5.0
Paneer,392,30.2,67.3,8.1
Pork Chop,452,6.7,82.6,16.9
Apple,250,47.1,19.1,37.1
Salmon,397,22.5,90.6,24.5
Chocolate,459,40.5,21.1,5.6
Cheese,544,40.0,70.9,32.4
Cookies,69,23.7,31.2,7.3
Strawberry,580,2.2,39.1,17.0
Strawberry,456,12.7,50.7,6.4
Pasta,346,23.8,72.8,22.4
Paneer,481,32.0,83.2,13.8
Cheese,66,13.8,71.6,27.2
Chips,208,6.3,62.0,17.1
Oats,348,14.7,25.6,50.0
Butter,578,41.7,16.0,31.8
Butter,160,9.4,45.4,34.8
Broccoli,252,15.6,16.5,39.0
Spinach,328,3.5,47.7,28.1
Chocolate,80,21.3,47.1,30.7
Carrot,261,48.0,79.1,24.7
Tomato,164,31.0,76.4,11.8
Eggs,434,26.7,51.8,32.1
Oats,257,19.2,19.9,48.4
Apple,383,32.6,8.3,32.4
Pasta,273,19.2,73.7,24.5
Grapes,472,20.5,80.4,29.0
Pasta,190,35.1,69.5,35.1
Orange,566,6.6,19.3,29.0
Milkshake,464,14.8,60.8,33.2
Water,599,23.4,73.6,46.2
Pasta,386,10.7,51.3,26.4
Green Tea,78,14.0,6.5,46.7
Quinoa,100,47.4,95.4,31.3
Orange Juice,446,22.3,8.9,9.5
Orange Juice,555,20.4,99.1,6.5
Milkshake,193,19.8,72.8,6.8
Yogurt,506,26.9,7.7,16.0
Water,297,4.3,23.6,20.4
Green Tea,304,2.2,10.0,23.6
Tomato,529,12.8,70.9,15.1
Chicken Breast,70,35.3,38.4,18.7
Quinoa,359,14.0,99.3,46.6
Milk,437,2.2,73.9,19.1
Salmon,471,40.4,70.8,10.7
Coffee,497,22.7,5.7,4.0
Oats,277,14.9,77.9,42.0
Coffee,441,46.2,80.7,35.8
Pasta,290,14.1,68.7,14.7
Orange,421,37.6,95.3,26.0
Pasta,224,31.7,57.8,24.4
Eggs,321,44.9,99.1,6.9
Cheese,409,19.9,36.2,22.9
Carrot,493,32.0,14.1,46.1
Butter,520,12.7,99.4,25.8
Spinach,107,3.7,43.2,26.6
Chips,444,12.0,32.8,15.0
Milkshake,549,2.5,89.0,18.0
Chocolate,485,36.0,59.4,36.4
Banana,158,18.1,44.3,48.8
Orange Juice,515,26.7,67.7,30.7
Butter,214,24.0,27.9,36.7
Cheese,385,2.9,82.6,18.3
Orange,446,23.2,70.3,5.3
Butter,310,36.4,84.4,29.9
Cookies,114,25.1,45.9,46.6
Strawberry,409,29.9,61.2,25.5
Beef Steak,315,19.7,83.8,15.0
Chips,542,31.6,91.4,24.8
Chocolate,225,3.8,86.5,39.4
Apple,147,40.5,85.8,31.9
Potato,375,36.0,92.3,23.2
Cookies,115,16.8,83.0,12.1
Apple,394,3.6,66.9,3.1
Eggs,195,31.2,66.8,35.2
Coffee,314,6.8,32.6,48.7
Eggs,292,11.6,40.3,27.2
Broccoli,199,26.9,99.9,43.8
Carrot,95,17.9,11.1,41.4
Chocolate,463,46.5,26.0,18.4
Rice,229,4.1,36.0,21.1
Cheese,74,17.6,85.4,40.8
Quinoa,414,41.2,91.0,48.0
Tomato,265,45.5,80.6,2.3
Milkshake,570,8.5,61.2,32.6
Carrot,579,14.9,99.9,7.8
Chips,63,5.9,88.4,6.0
Cheese,128,41.2,38.0,18.3
Chicken Breast,305,8.4,94.3,30.7
Chicken Breast,400,40.4,60.1,28.9
Grapes,280,48.0,31.8,15.6
Butter,172,13.0,5.0,4.7
Potato,304,26.3,43.5,19.4
Milkshake,176,32.5,68.8,49.0
Broccoli,474,19.0,72.2,35.2
Banana,511,14.3,28.4,23.2
Water,408,11.5,32.0,20.3
Paneer,156,37.5,74.1,28.8
Banana,345,33.0,88.1,15.8
Eggs,264,36.0,56.4,26.3
Apple,384,42.1,59.3,21.4
Chicken Breast,138,45.3,77.8,24.7
Orange Juice,155,1.4,15.5,47.7
Nuts,339,12.9,42.4,26.8
Banana,296,1.8,91.1,9.5
Water,106,44.8,34.2,40.7
Tomato,460,34.8,94.8,4.8
Cheese,568,34.6,11.4,15.1
Rice,535,1.6,45.1,6.2
Spinach,71,41.7,25.3,34.1
Bread,190,25.0,72.7,37.2
Paneer,209,19.5,49.2,40.5
Nuts,539,41.1,25.1,1.8
Cookies,392,46.0,52.5,20.4
Eggs,290,33.1,63.7,31.2
Nuts,560,24.7,8.3,15.2
Pork Chop,81,16.6,50.4,1.5
Cheese,281,21.8,5.1,42.7
Bread,106,48.3,81.4,19.2
Bread,307,13.7,92.5,29.2
Spinach,442,40.0,14.2,49.8
Banana,553,22.7,46.8,39.3
Butter,255,21.9,77.4,32.3
Butter,249,11.3,57.8,45.9
Paneer,162,36.6,23.4,13.6
Potato,426,1.5,70.1,15.3
Rice,547,33.8,76.9,28.7
Milkshake,366,43.6,43.9,43.4
Beef Steak,250,33.5,8.6,18.7
Broccoli,127,9.8,51.5,6.6
Salmon,588,31.9,47.2,7.6
Salmon,546,13.7,14.9,41.4
Beef Steak,309,6.7,64.7,33.5
Water,95,47.7,81.2,33.7
Spinach,567,8.3,10.1,23.1
Bread,299,6.9,19.8,24.4
Eggs,296,31.8,31.0,47.1
Pasta,340,30.9,72.6,37.1
Coffee,146,45.2,92.4,46.2
Chicken Breast,171,30.0,21.4,25.5
Apple,463,46.5,73.7,49.1
Oats,496,25.1,76.2,39.5
Rice,301,5.8,40.9,5.6
Chocolate,72,16.0,28.4,17.5
Oats,286,39.9,94.4,44.4
Apple,512,34.2,72.9,42.3
Salmon,158,40.0,30.0,47.5
Orange Juice,438,10.6,54.5,45.1
Orange,364,25.3,95.9,21.5
Tomato,59,8.5,69.9,48.3
Cheese,499,44.3,79.2,41.5
Salmon,357,5.9,57.0,48.9
Orange Juice,595,49.7,54.2,19.6
Quinoa,493,11.0,77.5,16.0
Nuts,505,30.4,87.4,16.9
Orange,112,24.4,20.1,3.5
Butter,374,49.4,35.6,24.9
Pasta,491,38.2,55.0,13.8
Rice,194,36.8,85.1,12.2
Tomato,180,34.8,84.5,49.1
Nuts,506,34.0,19.2,10.4
Orange,123,46.0,24.3,4.8
Spinach,421,31.0,22.7,22.2
Green Tea,476,46.7,12.8,31.0
Broccoli,256,27.2,37.0,37.2
Beef Steak,120,24.9,68.0,29.9
Carrot,196,28.7,55.0,3.2
Eggs,185,1.6,66.3,29.2
Coffee,355,20.3,39.0,21.3
Yogurt,599,9.8,38.1,20.3
Nuts,178,8.5,37.8,44.9
Yogurt,168,36.5,6.8,25.0
Butter,383,8.9,41.2,25.4
Chips,408,9.3,13.0,18.8
Paneer,549,6.9,75.0,43.1
Quinoa,279,47.6,47.1,38.7
Bread,123,41.6,30.0,25.3
Beef Steak,192,12.1,28.7,32.3
Coffee,483,37.3,67.2,48.1
Butter,566,2.9,75.9,6.4
Cheese,305,4.0,28.3,47.5
Oats,299,28.8,97.0,46.0
Apple,529,36.4,19.4,30.9
Quinoa,204,3.1,73.5,32.9
Grapes,471,12.2,14.0,37.5
Chips,494,22.1,43.4,48.2
Popcorn,78,35.1,42.8,39.1
Oats,406,5.5,18.9,48.0
Paneer,461,9.1,68.2,28.6
Orange,89,43.1,88.5,29.8
Eggs,449,35.4,49.3,3.4
Green Tea,399,22.6,38.7,16.0
Cheese,242,29.8,18.4,20.7
Quinoa,237,37.1,62.6,44.4
Quinoa,580,3.3,8.2,27.6
Pork Chop,179,40.6,71.5,38.1
Strawberry,356,28.9,34.8,15.4
Beef Steak,196,23.6,30.3,38.8
Carrot,242,42.1,79.4,31.0
Cookies,68,33.1,11.1,45.3
Eggs,111,42.4,7.2,48.7
Coffee,497,29.6,95.6,39.1
Orange,251,13.2,78.8,35.8
Paneer,484,36.5,89.2,4.1
Nuts,108,4.1,56.7,1.1
Grapes,453,19.8,32.2,8.9
Orange,206,8.9,18.5,5.7
Eggs,361,21.6,42.6,3.8
Water,99,47.6,14.1,1.2
Quinoa,142,37.4,8.9,42.5
Pork Chop,479,27.7,12.4,11.5
Beef Steak,148,31.9,54.8,17.5
Beef Steak,489,6.8,36.5,43.2
Orange Juice,217,43.9,30.3,41.6
Pasta,467,1.0,71.0,38.1
Tomato,281,19.6,36.5,25.6
Spinach,571,2.6,53.2,24.6
Popcorn,495,23.2,60.9,46.9
Rice,147,48.5,24.3,14.9
Potato,390,49.4,55.7,25.3
Grapes,267,18.0,54.1,6.4
Grapes,238,3.4,34.2,7.2
Coffee,351,45.9,19.2,1.7
Coffee,113,25.2,63.0,43.2
Pork Chop,444,48.7,77.4,31.4
Butter,571,14.0,90.7,5.7
Salmon,432,8.4,83.7,43.2
Milk,500,24.1,15.6,2.3
Pasta,479,44.4,18.9,15.9
Green Tea,534,17.4,31.6,43.5
Cheese,135,37.5,38.0,49.8
Milk,78,35.3,94.8,40.4
Pasta,53,41.2,82.3,5.8
Broccoli,420,49.7,36.4,36.2
Popcorn,576,7.0,23.0,2.7
Milk,344,27.9,54.4,4.3
Tomato,373,45.2,51.1,5.7
Spinach,106,35.4,21.9,20.3
Yogurt,52,44.0,17.8,33.6
Chocolate,436,42.9,64.7,15.2
Yogurt,421,41.9,29.8,28.8
Water,542,7.0,32.0,9.5
Strawberry,302,17.8,53.2,39.9
Chicken Breast,583,7.1,8.1,44.5
Salmon,424,42.8,81.3,1.8
Apple,578,28.9,48.4,36.8
Butter,288,20.7,61.8,11.0
Orange,133,34.5,97.3,44.6
Eggs,427,34.3,83.0,43.0
Carrot,94,28.6,24.8,19.6
Bread,538,46.6,7.7,4.1
Banana,578,36.5,94.6,2.1
Orange Juice,443,49.7,18.4,20.2
Pasta,222,39.3,84.6,44.2
Quinoa,223,11.3,98.8,27.0
Chicken Breast,575,10.6,32.7,27.4
Nuts,373,22.2,55.8,17.4
Popcorn,217,48.6,93.0,30.4
Eggs,415,22.0,45.9,21.0
Paneer,217,35.0,39.3,7.3
Cheese,430,23.1,34.5,34.6
Apple,294,39.9,48.1,47.3
Grapes,160,23.1,90.3,44.0
Pasta,157,36.6,66.1,19.5
Beef Steak,485,29.5,35.3,30.8
Broccoli,519,30.2,35.0,23.8
Oats,532,47.4,11.9,7.7
Cookies,590,34.3,75.0,22.3
Eggs,53,48.9,84.6,36.1
Quinoa,469,23.1,63.0,38.5
Grapes,580,33.0,40.4,47.6
Milkshake,453,7.4,85.1,25.4
Cookies,254,41.9,17.2,23.9
Quinoa,569,43.4,6.4,44.4
Green Tea,475,5.8,58.0,39.8
Popcorn,51,11.5,26.0,27.4
Milkshake,506,30.5,46.8,46.6
Pasta,591,48.3,49.7,49.3
Cookies,292,37.5,57.2,21.8
Salmon,228,44.7,5.0,35.5
Yogurt,366,11.0,17.8,43.8
Grapes,268,36.0,99.6,18.6
Spinach,218,34.2,6.4,8.7
Coffee,123,8.0,79.1,44.4
Carrot,147,37.4,50.3,39.7
Rice,451,8.6,82.4,8.5
Pork Chop,308,2.7,34.8,46.5
Spinach,328,15.7,90.2,37.5
Pork Chop,551,42.8,92.9,2.4
Rice,168,6.4,70.5,20.4
Popcorn,115,13.1,6.4,46.4
Tomato,284,5.6,56.2,8.9
Paneer,228,26.2,6.9,38.0
Milkshake,369,26.8,94.5,48.3
Rice,279,25.2,48.5,36.6
Spinach,91,32.4,62.4,48.4
Grapes,222,14.3,84.6,40.3
Carrot,559,22.0,45.9,8.3
Spinach,446,48.7,70.1,9.8
Rice,474,16.2,77.2,25.5
Paneer,283,14.0,83.8,4.6
Strawberry,559,2.6,96.6,18.2
Grapes,536,11.6,59.8,9.8
Oats,538,21.4,69.0,4.2
Chips,192,1.8,94.1,25.1
Pork Chop,327,12.7,5.4,24.4
Strawberry,158,8.6,30.3,8.2
Quinoa,496,25.7,53.9,40.9
Water,78,18.5,33.8,33.2
Paneer,321,21.6,66.7,39.7
Water,291,41.5,10.8,19.4
Strawberry,518,26.3,51.9,29.0
Pork Chop,188,34.9,97.4,39.6
Rice,533,45.2,12.0,38.3
Bread,364,31.4,95.1,14.4
Eggs,442,3.4,88.5,25.2
Apple,528,44.7,34.9,46.0
Nuts,569,43.7,25.2,44.6
Pork Chop,156,2.7,35.5,13.6
Popcorn,550,6.2,56.3,40.6
Orange Juice,322,13.6,9.4,12.4
Green Tea,317,32.9,27.8,14.4
Yogurt,339,42.1,49.7,45.4
Nuts,363,38.7,5.0,4.6
Orange,281,45.4,32.6,14.7
Rice,555,13.9,53.1,6.8
Coffee,119,46.9,16.6,8.5
Yogurt,551,44.2,38.6,25.5
Carrot,171,8.5,5.2,30.1
Salmon,494,33.1,92.0,46.6
Paneer,247,2.6,48.7,7.7
Pork Chop,363,19.8,84.7,16.4
Potato,242,11.6,97.5,14.1
Eggs,589,24.5,24.1,20.8
Oats,264,16.7,11.1,4.1
Tomato,402,2.4,77.0,25.6
Chips,554,39.7,86.3,38.2
Oats,572,42.3,29.4,40.5
Grapes,154,35.6,48.7,2.1
Banana,217,1.5,89.4,19.5
Chocolate,51,44.7,53.3,34.5
Yogurt,527,29.5,27.7,2.1
Butter,284,39.8,58.5,32.8
Carrot,348,21.9,79.9,21.8
Milkshake,173,30.2,63.0,45.4
Milk,377,9.8,88.1,33.2
Carrot,472,4.2,24.6,32.4
Orange,131,40.3,29.3,38.3
Chocolate,52,10.5,96.5,27.6
Beef Steak,295,30.7,90.5,28.5
Nuts,370,25.3,18.0,18.2
Yogurt,317,40.7,93.1,7.8
Grapes,145,47.2,25.9,12.3
Potato,512,5.0,57.1,34.9
Tomato,199,35.9,81.1,17.7
Banana,336,5.6,28.8,10.0
Salmon,293,47.7,66.7,17.6
Water,304,9.1,99.9,25.3
Orange Juice,257,43.7,71.4,28.6
Orange,235,11.2,40.0,7.5
Orange,257,37.2,43.8,34.9
Bread,56,39.3,34.5,19.2
Bread,108,6.1,27.0,13.1
Butter,139,14.5,21.2,46.8
Bread,516,9.3,99.9,31.3
Orange,129,1.8,16.6,15.4
Eggs,503,1.3,7.4,42.7
Tomato,583,8.7,71.4,43.4
Strawberry,495,14.5,72.9,18.8
Yogurt,558,45.8,84.8,18.9
Coffee,595,12.1,96.6,11.3
Strawberry,517,13.6,36.5,12.8
Broccoli,437,9.7,36.7,10.7
Broccoli,584,49.2,50.1,36.1
Paneer,395,45.5,12.6,32.4
Milk,504,16.8,53.9,5.5
Potato,393,33.9,23.7,8.4
Cheese,337,5.1,65.1,49.6
Tomato,109,24.9,54.8,12.5
Tomato,562,18.8,14.9,23.2
Potato,543,6.0,86.3,22.4
Pork Chop,200,16.9,66.1,24.0
Bread,287,21.9,25.0,26.4
Broccoli,389,28.7,11.5,24.3
Yogurt,518,14.6,66.1,40.7
Water,467,43.0,29.1,27.1
Pork Chop,251,24.7,28.7,14.9
Strawberry,215,43.6,20.5,44.8
Banana,335,15.7,68.2,11.0
Butter,237,39.8,35.5,22.1
Salmon,487,4.7,56.4,1.4
Milkshake,421,13.5,89.1,7.1
Cheese,278,8.8,7.6,24.1
Coffee,582,5.5,13.9,4.0
Yogurt,245,1.9,86.6,28.5
Milk,52,15.8,58.7,12.3
Milk,362,33.0,70.9,24.7
Quinoa,78,11.4,92.0,36.4
Banana,428,15.9,88.3,44.2
Salmon,587,2.2,61.7,45.1
Strawberry,74,18.4,54.3,13.3
Nuts,537,26.6,93.8,25.9
Milkshake,600,39.4,74.9,41.7
Chips,161,12.2,21.8,38.5
Cookies,332,40.0,70.4,44.3
Pork Chop,140,46.3,50.0,10.0
Banana,411,17.8,53.7,43.0
Green Tea,379,20.9,42.1,35.9
Nuts,517,22.5,79.2,27.7
Broccoli,200,31.2,7.9,17.9
Paneer,345,24.1,66.1,45.1
Chicken Breast,298,42.6,47.5,14.2
Popcorn,415,31.5,33.9,48.6
Rice,152,35.0,46.4,23.8
Butter,381,39.6,78.1,32.1
Pork Chop,328,23.2,20.3,23.2
Oats,329,6.9,77.9,22.1
Tomato,495,20.4,77.7,12.1
Cheese,557,37.9,31.5,49.3
Strawberry,149,39.2,41.3,19.1
Orange Juice,578,22.4,15.2,2.0
Broccoli,165,12.8,23.4,36.8
Nuts,566,7.7,52.9,12.6
Strawberry,269,46.0,95.8,24.9
Quinoa,263,8.4,76.9,16.4
Pasta,463,7.6,53.5,45.4
Chocolate,420,34.1,41.2,39.4
Orange Juice,148,49.8,35.0,44.8
Milk,66,7.1,62.3,41.9
Pork Chop,585,49.7,12.0,4.9
Apple,161,44.8,22.6,9.1
Cookies,546,48.6,76.7,37.2
Orange,347,36.0,8.5,29.5
Eggs,207,15.0,68.8,31.7
Orange,595,36.0,14.1,37.0
Spinach,271,38.9,62.5,44.1
Cookies,596,27.2,57.8,33.1
Tomato,296,9.8,11.4,7.3
Apple,510,32.1,83.8,21.5
Orange,436,41.3,74.7,45.8
Rice,64,48.2,90.0,10.8
Orange,507,46.7,59.8,7.2
Butter,114,45.8,13.1,33.2
Grapes,485,40.6,95.1,4.9
Water,235,25.1,73.2,41.4
Orange,321,14.1,69.7,25.8
Cookies,235,21.0,67.2,22.7
Chicken Breast,164,11.6,38.4,27.9
Orange,282,1.7,61.1,5.2
Grapes,554,45.9,89.6,39.3
Green Tea,523,16.4,72.3,35.5
Cheese,428,32.1,51.8,33.6
Pork Chop,346,31.6,11.4,30.7
Tomato,330,42.3,87.0,12.8
Quinoa,358,17.6,76.8,9.9
Beef Steak,331,39.0,8.7,13.5
Eggs,289,21.1,43.0,3.8
Broccoli,440,41.8,11.3,36.6
Chips,131,20.9,14.5,13.1
Spinach,465,14.1,69.6,49.9
Eggs,70,29.8,47.5,31.5
Beef Steak,463,38.3,32.0,46.2
Cheese,324,32.1,77.7,19.4
Quinoa,368,46.0,99.1,29.0
Spinach,193,28.4,6.1,31.8
Orange,396,17.6,45.5,43.4
Pork Chop,260,16.3,26.2,22.5
Orange,342,38.2,22.9,33.2
Milk,307,35.5,30.3,32.6
Potato,58,24.8,59.5,39.5
Banana,516,34.9,49.9,5.3
Pork Chop,543,21.5,14.7,17.5
Orange Juice,497,17.4,99.3,15.9
Orange Juice,515,45.5,60.7,36.4
Grapes,391,20.8,87.5,9.9
Milkshake,566,27.2,48.8,23.4
Cookies,144,17.4,39.1,7.7
Orange Juice,175,29.6,99.4,39.4
Orange Juice,368,41.2,51.4,16.3
Banana,307,1.5,74.4,46.6
Green Tea,582,1.7,44.7,2.6
Grapes,245,41.3,95.0,29.0
Potato,313,19.5,39.0,16.1
Apple,445,3.3,88.9,26.4
Orange Juice,430,49.1,49.8,24.8
Oats,243,6.7,40.3,28.8
Oats,546,36.2,81.9,42.2
Chicken Breast,51,31.9,91.6,43.2
Green Tea,280,1.2,65.5,40.5
Beef Steak,243,21.5,22.2,32.7
Strawberry,421,31.4,42.1,14.3
Grapes,366,29.6,64.2,26.6
Butter,426,10.5,67.6,13.8
Banana,204,28.2,62.7,40.3
Milkshake,225,40.6,97.0,8.3
Tomato,307,20.1,11.0,21.9
Bread,405,30.0,68.0,35.0
Pasta,362,6.3,53.9,15.0
Broccoli,234,41.8,82.1,24.4
Chips,437,25.6,68.2,34.1
Apple,185,46.2,82.6,35.5
Banana,101,20.5,91.9,37.3
Chocolate,210,6.7,19.3,43.4
Carrot,74,22.1,88.7,23.3
